site_no,station_nm,Latitude,Longitude,year,SSC_mgL
st_s005,st_s005,68.4250902052181,-132.203189984386,2022,35.9388565230521
st_s005,st_s005,68.4250902052181,-132.203189984386,2023,40.4139035665986
st_s005,st_s005,68.4250902052181,-132.203189984386,2013,51.2881017226023
st_s005,st_s005,68.4250902052181,-132.203189984386,2014,15.4920073172772
st_s005,st_s005,68.4250902052181,-132.203189984386,2020,44.562196005026
st_s005,st_s005,68.4250902052181,-132.203189984386,2001,5.25382245861964
st_s005,st_s005,68.4250902052181,-132.203189984386,2018,33.502015476547
st_s005,st_s005,68.4250902052181,-132.203189984386,2006,4.06689957977591
st_s005,st_s005,68.4250902052181,-132.203189984386,2024,59.9440136042535
st_s005,st_s005,68.4250902052181,-132.203189984386,2017,46.3010474299257
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,1999,8.41469369079908
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,1987,11.9391339817578
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,1998,15.3876833365111
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,2011,14.5491031004021
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,1986,16.0860923146597
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,2010,7.42172802724333
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,1993,19.3560363229398
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,2008,16.8147498027332
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,2013,6.76187301377373
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,2017,44.7794504761465
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,2020,5.64213977683479
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,2023,38.6543793234121
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,2000,17.4883195900619
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,2012,14.688108018612
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,2019,10.3694918519925
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,2021,25.5847274202731
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,2024,58.7836292034564
st_s005_ref,st_s005_ref,68.3826302051437,-132.325509984632,2015,43.7508731055255
st_s008,st_s008,63.6694402051841,-124.039209987153,1984,536.546176017733
st_s008,st_s008,63.6694402051841,-124.039209987153,1985,238.688631900073
st_s008,st_s008,63.6694402051841,-124.039209987153,1986,352.529696837544
st_s008,st_s008,63.6694402051841,-124.039209987153,1988,331.760065170496
st_s008,st_s008,63.6694402051841,-124.039209987153,1989,307.106608354981
st_s008,st_s008,63.6694402051841,-124.039209987153,1990,339.764550639225
st_s008,st_s008,63.6694402051841,-124.039209987153,1991,396.636715831905
st_s008,st_s008,63.6694402051841,-124.039209987153,1992,506.882618912943
st_s008,st_s008,63.6694402051841,-124.039209987153,1993,330.038027344634
st_s008,st_s008,63.6694402051841,-124.039209987153,1994,312.158368616661
st_s008,st_s008,63.6694402051841,-124.039209987153,1995,485.068993165939
st_s008,st_s008,63.6694402051841,-124.039209987153,1998,270.19258153561
st_s008,st_s008,63.6694402051841,-124.039209987153,2003,461.414812314069
st_s008,st_s008,63.6694402051841,-124.039209987153,2005,477.894366388218
st_s008,st_s008,63.6694402051841,-124.039209987153,2006,420.718122448371
st_s008,st_s008,63.6694402051841,-124.039209987153,2007,252.050488926927
st_s008,st_s008,63.6694402051841,-124.039209987153,2008,319.795703708174
st_s008,st_s008,63.6694402051841,-124.039209987153,2009,526.28953468259
st_s008,st_s008,63.6694402051841,-124.039209987153,2011,513.492855736723
st_s008,st_s008,63.6694402051841,-124.039209987153,1987,182.789785208682
st_s008,st_s008,63.6694402051841,-124.039209987153,1996,757.10753481342
