site_no,station_nm,month,year,decade,Latitude,Longitude,sample_dt,num_pix,B1,B2,B3,B4,B6,cluster,SSC_mgL,ten_day,reference
st_s002,st_s002,6,2007,2005,68.6937602052197,-131.64161998437,2007-06-16,1,286,344,255,528,292,3,10.0030689066593,160,"Affected, Post-slump"
st_s002,st_s002,8,2009,2005,68.6937602052197,-131.64161998437,2009-08-24,1,454,493,544,1036,292,3,143.460116123502,230,"Affected, Post-slump"
st_s002,st_s002,5,2010,2010,68.6937602052197,-131.64161998437,2010-05-23,2,242,256,332,346,284,3,261.661386048107,140,"Affected, Post-slump"
st_s002,st_s002,5,2011,2010,68.6937602052197,-131.64161998437,2011-05-26,2,403,488,581,689,288,3,143.87946186837,140,"Affected, Post-slump"
st_s002,st_s002,6,2014,2010,68.6937602052197,-131.64161998437,2014-06-03,3,308,441,570,535,282,3,186.176149471229,150,"Affected, Post-slump"
st_s002,st_s002,5,2015,2015,68.6937602052197,-131.64161998437,2015-05-21,1,663,831,943,1143,282,3,139.090113923477,140,"Affected, Post-slump"
st_s002,st_s002,8,2015,2015,68.6937602052197,-131.64161998437,2015-08-09,1,463,562,589,1012,290,3,104.661336159166,220,"Affected, Post-slump"
st_s002,st_s002,7,2016,2015,68.6937602052197,-131.64161998437,2016-07-26,1,431,615,705,1180,288,3,255.674894978682,200,"Affected, Post-slump"
st_s002,st_s002,6,2017,2015,68.6937602052197,-131.64161998437,2017-06-11,1,177,246,251,361,286,3,85.9384275415499,160,"Affected, Post-slump"
st_s002,st_s002,7,2017,2015,68.6937602052197,-131.64161998437,2017-07-13,3,319,510,573,1026,295,3,245.36117006145,190,"Affected, Post-slump"
st_s002,st_s002,7,2017,2015,68.6937602052197,-131.64161998437,2017-07-29,1,377,590,608,1101,298,3,171.535316266677,210,"Affected, Post-slump"
st_s002,st_s002,5,2018,2015,68.6937602052197,-131.64161998437,2018-05-29,7,542,552,587,595,281,3,48.8533757926489,140,"Affected, Post-slump"
st_s002,st_s002,6,2018,2015,68.6937602052197,-131.64161998437,2018-06-14,6,261,242,240,293,289,3,43.9971410382829,160,"Affected, Post-slump"
st_s002,st_s002,8,2019,2015,68.6937602052197,-131.64161998437,2019-08-20,1,463,527,417,1089,284,3,22.5847692536199,230,"Affected, Post-slump"
st_s002,st_s002,6,2000,2000,68.6937602052197,-131.64161998437,2000-06-12,6,412,566,625,811,287,3,143.379748816318,160,"Affected, Post-slump"
st_s002,st_s002,8,2001,2000,68.6937602052197,-131.64161998437,2001-08-18,2,232,346,327,747,285,3,122.505550691558,230,"Affected, Post-slump"
st_s002,st_s002,7,2002,2000,68.6937602052197,-131.64161998437,2002-07-20,21,135,151,109,281,299,3,11.5082713084025,200,"Affected, Post-slump"
st_s002,st_s002,9,2002,2000,68.6937602052197,-131.64161998437,2002-09-06,2,163,215,278,299,290,3,142.139312079757,240,"Affected, Post-slump"
