system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,img_qual,lat,lon,nd_median,pixel_qa_median,site_no,snow_ice_qa_count,solar_az,solar_zen,.geo
1_2_LC08_061012_20230809_0,305.8749999999999,1,725.5250000000002,544.5749999999999,1214.2000000000003,680.9749999999998,298.67167778,303.12499999999994,0.13,151,2023-08-09,,68.42509020521814,-132.20318998438606,-0.03167437016963959,192.0,s005,0,171.32254426,37.25935983,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_061012_20240608_0,274.80000000000007,19,385.075,489.5749999999999,468.3999999999999,275.35,292.10224334,185.70000000000005,48.95,0,2024-06-08,,68.42509020521814,-132.20318998438606,-0.18024151027202606,96.0,s005,0,172.52147962,44.52115198,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_061012_20240608_1,157.10000000000002,3,253.6250000000001,343.8250000000001,257.4750000000001,200.27500000000003,293.13106736,143.625,48.95,7,2024-06-08,,68.38263020514366,-132.3255099846317,-0.11485553532838821,96.0,s005_ref,0,172.52147962,44.52115198,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_062012_20140604_0,160.12499999999986,2,204.125,260.77500000000003,174.14999999999986,91.37499999999993,286.70177174,86.97499999999997,9.47,0,2014-06-04,,68.42509020521814,-132.20318998438606,-0.3815566897392273,96.0,s005,0,172.99444865,44.08812548,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_062012_20140924_0,120.52499999999993,5,456.5749999999999,249.22499999999985,1836.5249999999999,305.05000000000007,272.95791332,303.40000000000003,45.18,147,2014-09-24,,68.42509020521814,-132.20318998438606,-0.1352538889479463,194.0,s005,0,176.02923431,20.98931954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_062012_20140924_1,88.62499999999996,7,695.8249999999999,559.9749999999998,2477.55,276.45000000000005,272.903225,351.7999999999999,45.18,143,2014-09-24,,68.38263020514366,-132.3255099846317,-0.4417547881603241,194.0,s005_ref,0,176.02923431,20.98931954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_062012_20150522_0,210.45000000000007,8,329.2500000000001,413.39999999999986,367.4749999999999,192.57499999999982,289.89078440000003,159.85,29.13,17,2015-05-22,,68.42509020521814,-132.20318998438606,-0.2619173228740692,96.0,s005,0,173.50106786,42.05359083,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_062012_20150522_1,588.8500000000003,1,823.4249999999998,912.25,1222.1749999999997,721.3999999999999,293.4284351,498.0999999999999,29.13,22,2015-05-22,,68.38263020514366,-132.3255099846317,-0.06604307889938354,96.0,s005_ref,0,173.50106786,42.05359083,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_062012_20160625_0,347.94999999999993,8,600.3999999999999,675.4749999999998,842.95,448.325,298.0940324,265.175,21.26,8,2016-06-25,,68.42509020521814,-132.20318998438606,-0.1447851590443037,96.0,s005,0,171.56891314,44.89353745,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_062012_20160727_0,132.89999999999995,1,257.74999999999994,328.1500000000001,600.675,238.5000000000001,293.56515590000004,151.87499999999991,3.99,0,2016-07-27,,68.42509020521814,-132.20318998438606,-0.03879093378782272,96.0,s005,0,170.82396835,40.4618445,"{""type"":""MultiPoint"",""coordinates"":[]}"
