system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,img_qual,lat,lon,nd_median,pixel_qa_median,site_no,snow_ice_qa_count,solar_az,solar_zen,.geo
1_1_2_LE07_053016_20200731_11,569.1875000000002,12,688.4000000000001,606.8625,1311.275,408.7249999999999,294.92552786,248.81249999999994,1.0,0,2020-07-31,9.0,63.557550205232616,-124.15494998723467,-0.2536673354587386,1.0,s008_ref,0,153.19202201,42.96679827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20200917_10,857.5250000000001,27,1091.55,1237.0249999999999,1468.85,381.225,282.11137088,312.75,2.0,0,2020-09-17,9.0,63.66944020518405,-124.03920998715267,-0.5140555500984192,1.0,s008,0,159.58431438,27.50745081,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20200917_11,341.9,13,471.975,525.0500000000002,486.8249999999999,162.32499999999982,281.26711994,175.24999999999986,2.0,0,2020-09-17,9.0,63.557550205232616,-124.15494998723467,-0.45535377259573073,32.0,s008_ref,0,159.58431438,27.50745081,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20201019_10,972.4749999999999,14,1315.3999999999999,1361.8750000000002,1337.1250000000002,578.1249999999999,265.03494295999997,383.6999999999999,1.0,0,2020-10-19,9.0,63.66944020518405,-124.03920998715267,-0.42145076394081116,1.0,s008,1,163.40450913,15.69216111,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20201019_11,613.8749999999999,54,635.6,595.175,1489.4750000000001,500.3000000000002,262.7517056,303.12499999999994,1.0,0,2020-10-19,9.0,63.557550205232616,-124.15494998723467,-0.13945741951465607,1.0,s008_ref,1,163.40450913,15.69216111,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20210224_11,1690.7749999999999,2,1409.8625000000002,1176.9375,2000.5625,472.25000000000006,246.14354642,386.4499999999999,1.0,50,2021-02-24,9.0,63.557550205232616,-124.15494998723467,-0.4981616884469986,2.0,s008_ref,11,153.70088754,15.28894439,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20210429_10,1476.2750000000003,22,1622.575,1823.6000000000001,2067.525,516.8000000000001,275.99653309999997,344.3750000000001,40.0,0,2021-04-29,9.0,63.66944020518405,-124.03920998715267,-0.5047733187675476,16.0,s008,67,150.83217842,39.17290993,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20210429_11,1474.0750000000003,40,1593.9750000000004,1563.45,2419.8,607.8250000000002,276.34517114,343.8250000000001,40.0,0,2021-04-29,9.0,63.557550205232616,-124.15494998723467,-0.44189587235450745,16.0,s008_ref,116,150.83217842,39.17290993,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20210616_10,849.8250000000002,36,1166.9,1312.9249999999997,1716.9,366.1,290.1984062,241.25000000000009,32.0,0,2021-06-16,9.0,63.66944020518405,-124.03920998715267,-0.5112394094467163,1.0,s008,0,145.4278405,47.09409714,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20210616_11,399.65,18,639.4499999999997,777.2249999999997,674.65,284.9750000000001,288.32874926,186.25000000000003,32.0,0,2021-06-16,9.0,63.557550205232616,-124.15494998723467,-0.38327112793922424,32.0,s008_ref,0,145.4278405,47.09409714,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20210702_11,698.8499999999998,14,803.625,829.4750000000001,1158.1000000000001,623.7749999999997,286.8658367,441.03749999999997,72.0,0,2021-07-02,9.0,63.557550205232616,-124.15494998723467,-0.1347971372306347,1.0,s008_ref,0,144.08644435,46.40538978,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20210718_10,877.0499999999997,18,1177.9,1336.5749999999998,1769.1499999999999,561.625,293.59250006,348.77500000000003,1.0,0,2021-07-18,9.0,63.66944020518405,-124.03920998715267,-0.35427775979042053,1.0,s008,0,143.83992173,44.16531258,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_053016_20210718_11,420.55000000000007,10,640.2750000000002,721.3999999999999,674.9250000000001,300.92500000000007,292.56709406,184.87500000000006,1.0,0,2021-07-18,9.0,63.557550205232616,-124.15494998723467,-0.3618321120738983,32.0,s008_ref,0,143.83992173,44.16531258,"{""type"":""MultiPoint"",""coordinates"":[]}"
