system:index,date,mean,site_no,.geo
19800702_0,1980-07-02,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800703_0,1980-07-03,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800704_0,1980-07-04,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800705_0,1980-07-05,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800706_0,1980-07-06,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800707_0,1980-07-07,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800708_0,1980-07-08,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800709_0,1980-07-09,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800710_0,1980-07-10,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800711_0,1980-07-11,6.832171276062892,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800712_0,1980-07-12,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800713_0,1980-07-13,9.438303933159492,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800714_0,1980-07-14,2.1490856828488463,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800715_0,1980-07-15,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800716_0,1980-07-16,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800717_0,1980-07-17,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800718_0,1980-07-18,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800719_0,1980-07-19,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800720_0,1980-07-20,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800721_0,1980-07-21,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800722_0,1980-07-22,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800723_0,1980-07-23,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800724_0,1980-07-24,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800725_0,1980-07-25,4.09227402969682,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800726_0,1980-07-26,1.4342151482017929,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800727_0,1980-07-27,5.984923160036447,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800728_0,1980-07-28,2.901926923406772,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800729_0,1980-07-29,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800730_0,1980-07-30,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800731_0,1980-07-31,8.697136588419449,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800801_0,1980-08-01,5.084028738320336,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800802_0,1980-08-02,8.407896313894868,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800803_0,1980-08-03,8.365934376182091,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800804_0,1980-08-04,5.1067554974529505,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800805_0,1980-08-05,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800806_0,1980-08-06,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800807_0,1980-08-07,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800808_0,1980-08-08,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800809_0,1980-08-09,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800810_0,1980-08-10,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800811_0,1980-08-11,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800812_0,1980-08-12,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800813_0,1980-08-13,1.443148835683107,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800814_0,1980-08-14,6.93633958158165,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800815_0,1980-08-15,4.664255123159596,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800816_0,1980-08-16,6.690209408314457,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800817_0,1980-08-17,8.062320446729926,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800818_0,1980-08-18,4.9935318812413705,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800819_0,1980-08-19,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800820_0,1980-08-20,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800821_0,1980-08-21,0.13557943579359402,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800822_0,1980-08-22,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800823_0,1980-08-23,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800824_0,1980-08-24,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800825_0,1980-08-25,0.519341622751111,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800826_0,1980-08-26,1.8941838623548586,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800827_0,1980-08-27,2.0179393148581006,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800828_0,1980-08-28,2.9922936269631,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800829_0,1980-08-29,3.249488771557146,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800830_0,1980-08-30,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800831_0,1980-08-31,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800901_0,1980-09-01,1.2386006006720858,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800902_0,1980-09-02,5.1285017666620885,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800903_0,1980-09-03,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800904_0,1980-09-04,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800905_0,1980-09-05,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800906_0,1980-09-06,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800907_0,1980-09-07,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800908_0,1980-09-08,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800909_0,1980-09-09,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800910_0,1980-09-10,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800911_0,1980-09-11,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800912_0,1980-09-12,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800913_0,1980-09-13,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800914_0,1980-09-14,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800915_0,1980-09-15,6.249540160154793,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800916_0,1980-09-16,1.4788249414848302,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800917_0,1980-09-17,1.4418452845826395,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800918_0,1980-09-18,3.0612181328509935,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800919_0,1980-09-19,2.1891041860464013,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800920_0,1980-09-20,1.5263856359810195,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800921_0,1980-09-21,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800922_0,1980-09-22,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800923_0,1980-09-23,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800924_0,1980-09-24,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800925_0,1980-09-25,0.3126952199970313,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800926_0,1980-09-26,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800927_0,1980-09-27,2.401718441839355,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800928_0,1980-09-28,1.9229846950641083,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800929_0,1980-09-29,2.2837185613587745,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800930_0,1980-09-30,0.13484193129774047,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19801001_0,1980-10-01,1.5158847632603953,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19801002_0,1980-10-02,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19801003_0,1980-10-03,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
